Emoji,Unicode codepoint,Occurrences,Position,Negative,Neutral,Positive,Unicode name,Unicode block
😂,0x1f602,14622,0.805100583,3614,4163,6845,FACE WITH TEARS OF JOY,Emoticons
😍,0x1f60d,6359,0.765292366,329,1390,4640,SMILING FACE WITH HEART-SHAPED EYES,Emoticons
😭,0x1f62d,5526,0.803351976,2412,1218,1896,LOUDLY CRYING FACE,Emoticons
😘,0x1f618,3648,0.854480172,193,702,2753,FACE THROWING A KISS,Emoticons
😊,0x1f60a,3186,0.813302436,189,754,2243,SMILING FACE WITH SMILING EYES,Emoticons
😁,0x1f601,2189,0.796151187,278,648,1263,GRINNING FACE WITH SMILING EYES,Emoticons
😩,0x1f629,1808,0.826213985,1069,336,403,WEARY FACE,Emoticons
🙏,0x1f64f,1539,0.793847592,124,648,767,PERSON WITH FOLDED HANDS,Emoticons
😏,0x1f60f,1522,0.764977294,170,676,676,SMIRKING FACE,Emoticons
😉,0x1f609,1521,0.844832651,151,513,857,WINKING FACE,Emoticons
🙌,0x1f64c,1506,0.790600034,152,358,996,PERSON RAISING BOTH HANDS IN CELEBRATION,Emoticons
🙈,0x1f648,1456,0.738880937,238,350,868,SEE-NO-EVIL MONKEY,Emoticons
😄,0x1f604,1398,0.794972621,191,426,781,SMILING FACE WITH OPEN MOUTH AND SMILING EYES,Emoticons
😒,0x1f612,1385,0.857620553,819,266,300,UNAMUSED FACE,Emoticons
😃,0x1f603,1206,0.734782211,86,361,759,SMILING FACE WITH OPEN MOUTH,Emoticons
😔,0x1f614,1205,0.86614594,559,263,383,PENSIVE FACE,Emoticons
😱,0x1f631,1130,0.773313178,298,319,513,FACE SCREAMING IN FEAR,Emoticons
😜,0x1f61c,1035,0.822246602,115,333,587,FACE WITH STUCK-OUT TONGUE AND WINKING EYE,Emoticons
😳,0x1f633,846,0.797185814,277,277,292,FLUSHED FACE,Emoticons
😡,0x1f621,756,0.861522028,403,81,272,POUTING FACE,Emoticons
😎,0x1f60e,754,0.76564387,79,224,451,SMILING FACE WITH SUNGLASSES,Emoticons
😢,0x1f622,749,0.813896833,288,168,293,CRYING FACE,Emoticons
😋,0x1f60b,734,0.76498518,33,203,498,FACE SAVOURING DELICIOUS FOOD,Emoticons
🙊,0x1f64a,725,0.740523086,97,197,431,SPEAK-NO-EVIL MONKEY,Emoticons
😴,0x1f634,718,0.849922938,303,170,245,SLEEPING FACE,Emoticons
😌,0x1f60c,665,0.847121229,93,157,415,RELIEVED FACE,Emoticons
😞,0x1f61e,532,0.825187832,255,85,192,DISAPPOINTED FACE,Emoticons
😆,0x1f606,527,0.809376422,81,148,298,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES,Emoticons
😝,0x1f61d,496,0.808808972,65,155,276,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES,Emoticons
😪,0x1f62a,482,0.858219873,208,105,169,SLEEPY FACE,Emoticons
😫,0x1f62b,467,0.839517641,227,81,159,TIRED FACE,Emoticons
😅,0x1f605,462,0.827654572,135,109,218,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT,Emoticons
😀,0x1f600,439,0.786284933,37,114,288,GRINNING FACE,Emoticons
😚,0x1f61a,424,0.853414944,20,81,323,KISSING FACE WITH CLOSED EYES,Emoticons
😻,0x1f63b,417,0.729665769,28,101,288,SMILING CAT FACE WITH HEART-SHAPED EYES,Emoticons
😥,0x1f625,341,0.881976694,108,83,150,DISAPPOINTED BUT RELIEVED FACE,Emoticons
😕,0x1f615,340,0.856711865,205,66,69,CONFUSED FACE,Emoticons
😤,0x1f624,327,0.884007985,157,82,88,FACE WITH LOOK OF TRIUMPH,Emoticons
😈,0x1f608,325,0.762497655,66,106,153,SMILING FACE WITH HORNS,Emoticons
😰,0x1f630,302,0.919654285,132,44,126,FACE WITH OPEN MOUTH AND COLD SWEAT,Emoticons
😑,0x1f611,299,0.844272967,154,85,60,EXPRESSIONLESS FACE,Emoticons
😹,0x1f639,295,0.8074145,88,77,130,CAT FACE WITH TEARS OF JOY,Emoticons
😠,0x1f620,288,0.849218089,163,49,76,ANGRY FACE,Emoticons
😓,0x1f613,273,0.844887359,118,59,96,FACE WITH COLD SWEAT,Emoticons
😣,0x1f623,271,0.903307721,147,35,89,PERSEVERING FACE,Emoticons
😐,0x1f610,270,0.882732825,150,76,44,NEUTRAL FACE,Emoticons
😨,0x1f628,269,0.813687927,117,73,79,FEARFUL FACE,Emoticons
😖,0x1f616,268,0.868926665,130,50,88,CONFOUNDED FACE,Emoticons
😷,0x1f637,246,0.840376534,117,54,75,FACE WITH MEDICAL MASK,Emoticons
🙋,0x1f64b,236,0.732500422,30,60,146,HAPPY PERSON RAISING ONE HAND,Emoticons
😛,0x1f61b,220,0.734419263,18,50,152,FACE WITH STUCK-OUT TONGUE,Emoticons
😬,0x1f62c,214,0.793679841,57,58,99,GRIMACING FACE,Emoticons
😙,0x1f619,191,0.875675106,3,34,154,KISSING FACE WITH SMILING EYES,Emoticons
🙆,0x1f646,171,0.839916616,15,54,102,FACE WITH OK GESTURE,Emoticons
🙅,0x1f645,165,0.838871886,76,47,42,FACE WITH NO GOOD GESTURE,Emoticons
🙉,0x1f649,150,0.757694988,26,47,77,HEAR-NO-EVIL MONKEY,Emoticons
😇,0x1f607,135,0.781831331,9,36,90,SMILING FACE WITH HALO,Emoticons
😿,0x1f63f,134,0.811560707,78,29,27,CRYING CAT FACE,Emoticons
😲,0x1f632,129,0.853619885,50,38,41,ASTONISHED FACE,Emoticons
😶,0x1f636,117,0.868667638,50,34,33,FACE WITHOUT MOUTH,Emoticons
😵,0x1f635,103,0.808813841,33,28,42,DIZZY FACE,Emoticons
😸,0x1f638,97,0.782035657,11,34,52,GRINNING CAT FACE WITH SMILING EYES,Emoticons
😧,0x1f627,92,0.774990088,36,26,30,ANGUISHED FACE,Emoticons
😮,0x1f62e,90,0.774237435,16,33,41,FACE WITH OPEN MOUTH,Emoticons
😽,0x1f63d,88,0.754242708,11,14,63,KISSING CAT FACE WITH CLOSED EYES,Emoticons
🙀,0x1f640,88,0.790729154,14,30,44,WEARY CAT FACE,Emoticons
🙇,0x1f647,83,0.794293941,24,23,36,PERSON BOWING DEEPLY,Emoticons
😟,0x1f61f,80,0.824309355,28,18,34,WORRIED FACE,Emoticons
😯,0x1f62f,62,0.859007902,16,22,24,HUSHED FACE,Emoticons
😦,0x1f626,54,0.882218595,30,15,9,FROWNING FACE WITH OPEN MOUTH,Emoticons
🙍,0x1f64d,49,0.844922892,29,8,12,PERSON FROWNING,Emoticons
😺,0x1f63a,40,0.825897808,8,7,25,SMILING CAT FACE WITH OPEN MOUTH,Emoticons
😾,0x1f63e,33,0.914644696,20,5,8,POUTING CAT FACE,Emoticons
😼,0x1f63c,28,0.855991066,5,7,16,CAT FACE WITH WRY SMILE,Emoticons
🙎,0x1f64e,17,0.640742988,8,2,7,PERSON WITH POUTING FACE,Emoticons
😗,0x1f617,15,0.714328477,1,2,12,KISSING FACE,Emoticons
